#DIV/0!	28432660.23	28407719.3	26987333.33	28470153.85	26987333.33	28160695.65	28407719.3	28160695.65	28574823.53	28160695.65	26987333.33	26987333.33	21589866.67
#DIV/0!	#DIV/0!	34933333.33	37728000	35931428.57	36680000	34298181.82	34933333.33	35931428.57	37728000	31440000	31440000	31440000	#DIV/0!
#DIV/0!	#DIV/0!	22618115.94	22654596.77	21161355.93	21420686.27	21281590.91	22950735.29	23120740.74	22295000	22295000	22295000	19508125	31213000
#DIV/0!	#DIV/0!	32090500	31223189.19	32090500	32090500	32090500	32090500	32090500	32090500	32090500	32090500	32090500	25672400
22158638.13	22028686.33	22434675.77	22240691.73	22235467.23	21704490.57	21911200	21552000	22282576.27	21670417.58	22282576.27	21204387.1	22666758.62	20225723.08
29216271.88	29592141.86	29448788.93	28904264.15	29602434.78	29639253.73	28849830.51	28559395.97	29602434.78	29347241.38	29347241.38	28369000	30395357.14	28369000
46297802.39	46265267.04	46038793.71	46020914.56	45998585.15	46084832.5	46065638.48	44483429.05	45208909.87	46200333.33	43170803.28	46200333.33	42474500	40514138.46
22788884.93	23003321.68	22571574.17	22721881.49	22824928.57	22464707.32	22220294.7	22190902.78	20427789.95	22594373.74	21929833.33	22824928.57	22824928.57	21303266.67
56046706.4	56038141.81	56072415.9	55750378.38	55986809.16	55085733.91	55562666.67	55562666.67	55144902.26	54462415.84	56417476.92	55562666.67	53928470.59	52387657.14
#DIV/0!	#DIV/0!	58102000	52291800	58102000	50839250	58102000	48418333.33	58102000	43576500	58102000	29051000	#DIV/0!	#DIV/0!
37465699.78	37075852.17	36969731.66	37727123.73	37574690.91	37574690.91	37574690.91	37303393.5	34879459.92	37348337.35	37574690.91	36256280.7	36903714.29	34443466.67
20099089.67	20469727.64	19905931.31	19562799.86	20260557.98	20382904.35	19794798.03	20105123.42	19318961.54	19298343.65	20226563.76	19827355.26	20501755.1	20432257.63
22724247.49	22529593.81	22138952.68	22588741.42	22772756.11	22597259.05	22558980.24	21169962.91	20567286.49	23013798.39	21701224.33	21951623.08	22648500	22382047.06
34833227.85	34723343.85	31997965.12	34397812.5	34668661.42	34707702.7	34759894.74	33154518.07	34397812.5	34397812.5	32374411.76	34397812.5	30575833.33	36691000
17476917.51	17214832.23	17291205.72	17185313.31	17719127.41	16932054.05	17198903.91	17359525.86	17784331.19	17426293.27	17384503.6	17638291.97	17510478.26	17899600
19678259.52	20135857.14	19945896.23	19375529.91	19772960.55	19230997.29	20135857.14	19546363.64	17930162.54	19318157.36	19938058.94	17318211.6	17618875	16636839.34
22571886.03	22406593.24	22532625.48	21897618.95	22593233.84	22535968.6	22589967.03	22579519.6	22563866.55	22370018.9	21973588.19	22563866.55	20153794.12	21698918.33
49699053.47	49775454.78	49813743.59	49672227.27	49813743.59	48053540.64	47968790.12	48568400	49813743.59	49813743.59	46812915.66	49813743.59	48568400	48568400
#DIV/0!	#DIV/0!	49213666.67	49213666.67	49213666.67	51674350	52108588.24	49213666.67	53687636.36	49213666.67	49213666.67	49213666.67	73820500	29528200
#DIV/0!	15996653.54	15405308.06	15813340.54	15665156.63	15270899.33	15856195.12	15332641.51	13832000	15002400	15478666.67	16252600	14775090.91	16252600
